No Dosen,Nama Dosen,No Judul,Judul,Skalabilitas dan Analitik Data,Penerapan Kecerdasan Buatan,Penerapan Data Besar,Penerapan Information Retrieval,Penerapan Sistem Pakar,Penerapan Penambangan Data,Penerapan Penambangan Teks,Penerapan Intelijen Bisnis,Penerapan Smart Living,Penerapan Komputasi Awan,Penerapan IoT,Penerapan Keamanan Data,Penerapan Keamanan Cyber,Penerapan Virtualisasi Jaringan,Penerapan Teknologi Jaringan,Penerapan Teknologi Nirkabel,Penerapan IT Forensik pada Jaringan,Penerapan Enkripsi,Penerapan Pengenalan Pola,Penerapan Watermarking pada Citra,Penerapan Kompresi Citra,Penerapan Pengolahan Citra,Penerapan Transformasi Citra,Penerapan Filtering Citra,Penerapan Morfologi Citra Digital,Integrasi Sistem dan Arsitektur,Penerapan Manajemen Informasi,Penerapan Sistem Informasi Geografis,Penerapan Global Professional Practice,Penerapan Sistem Peramalan,Penerapan Sistem Pendukung Keputusan,Penerapan Bisnis Elektronik Sistem Informasi,Penerapan Customer Relationship Management,Penerapan Pembelajaran Elektronik pada Sistem Informasi,Computational Thinking,Pengembangan Game,Multimedia,Penerapan Augmented Reality
2,"Agung Nugroho Pramudhita, S.T., M.T.",11,Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,2.209313655638145e-60,1.4178809983092436e-60,9.598922457431896e-55,2.3436665048786325e-58,4.980162969677854e-55,4.675166013836913e-59,2.7603778703521906e-54,2.758209460176524e-60,7.828392550070445e-61,1.8707843101903957e-61,3.9436224514802304e-60,2.165614391086331e-60,5.105494202097071e-60,1.0340646880711e-60,9.218506342208883e-61,7.833391911596987e-60,2.738223035734683e-58,1.2082858581358093e-59,1.404180437119791e-58,3.71593972685092e-61,1.8806775389884037e-57,4.288449479546371e-56,1.752357619971602e-54,6.715469147385059e-56,1.0657520720544134e-50,6.322733148108245e-61,2.270653242924442e-58,1.2766422851427448e-59,1.2158820047496513e-59,4.150121364079082e-59,2.5025993260145304e-59,3.970885334358849e-61,3.0653078323963813e-57,2.5113392578759643e-59,9.240776827344321e-59,1.73854026342611e-61,4.497396175317957e-58,2.1456758135509985e-55
2,"Agung Nugroho Pramudhita, S.T., M.T.",12,PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,6.559199430719878e-35,5.931537386006992e-32,3.171749785927175e-32,4.107769759515673e-31,1.106149210721417e-33,1.3384771336206575e-34,1.1861217651584143e-33,8.471471802948716e-34,9.465998609219106e-32,9.944501854751919e-31,1.0610870038872973e-32,6.198100804934596e-33,5.563255796211635e-33,5.182701095981653e-32,5.824241471395501e-32,2.5547283994656e-32,1.1118102398533061e-33,7.286911953079412e-33,2.973263032998731e-34,6.6608446765457845e-34,1.3034081321254124e-32,1.2493237798579482e-34,1.0107134183418308e-33,3.7353594833695727e-35,7.94697498045453e-34,5.391520866958591e-32,9.03906433438684e-31,4.8676246257012825e-30,3.1676926270283584e-33,1.2509843996850744e-31,2.1712298059291866e-31,1.7095937937106206e-30,1.7517302763434108e-30,4.811037180150916e-31,5.375403003983906e-33,2.557980203755374e-32,9.509261747039677e-30,2.088706521631425e-30
2,"Agung Nugroho Pramudhita, S.T., M.T.",13,SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,3.526487216524083e-67,4.311944263088341e-65,4.262819748188293e-64,1.6034393814082446e-66,2.961420520392953e-65,5.498029394436602e-65,1.7092070914722817e-64,8.247434866717591e-66,1.651700395517395e-64,9.366785397852618e-69,5.534620867700277e-67,2.3235505554486837e-65,1.178168601423037e-65,1.3733788150690282e-66,1.9558145913184582e-67,1.3086453907806805e-66,2.0082415933127167e-66,1.3637869837926811e-65,1.7017844731730028e-65,8.406821209165246e-66,4.214956038903659e-65,1.5096138910520612e-64,1.7762204526234555e-64,9.827813064884157e-64,3.50519472486319e-66,3.744832850306547e-67,1.795903529259777e-66,8.270742361061132e-62,8.343241748671888e-67,9.454360776947288e-51,1.6065501081571407e-63,2.448288348140293e-67,1.0696511758263828e-66,4.101434572739436e-66,3.7705999731019086e-66,3.6615388878110513e-68,5.603435507296425e-67,1.8148321579322175e-65
2,"Agung Nugroho Pramudhita, S.T., M.T.",14,ANALISIS PERAMALAN TERHADAP PELUANG BISNIS TANAH UNTUK PT JNF DI KOTA MALANG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,4.55349589941526e-93,2.56694725312914e-92,3.1972052327953556e-91,4.1050750290394805e-93,9.259450570388469e-94,1.7366912972481731e-90,9.163098433558063e-92,8.21523168455922e-92,6.701788131082664e-91,6.844858268747185e-94,1.4203120512883511e-92,4.572279919687384e-93,1.6428674347821827e-91,1.492310224007879e-91,1.3005051215977211e-92,1.0485069040560406e-94,2.204398672254162e-91,8.472730413725877e-93,2.310510887050492e-93,1.865005720341907e-92,1.8074892341731596e-93,1.6755701681778366e-92,7.624872075741882e-94,1.8464384109500543e-90,1.2549441546777717e-94,3.6635296962278042e-93,2.142475747721276e-90,2.528741652302226e-88,1.631100659699998e-94,8.021729668075932e-82,2.8611701500982113e-89,4.4197066839661525e-92,4.664425905053045e-90,3.1557600722548405e-92,9.047289285555552e-93,9.915272014223215e-97,1.416251818226283e-94,2.0742375983910187e-93
2,"Agung Nugroho Pramudhita, S.T., M.T.",15,PERBANDINGAN METODE FTS DAN MA PADA PERAMALAN PERSEDIAAN BERAS,1.1131511471672085e-45,5.327395114924156e-42,1.8189246454648872e-41,1.0630184342650376e-43,2.1772385939076832e-43,9.91074496092222e-43,3.0718072517761664e-43,2.8731767938873604e-45,7.728218437414848e-46,5.519674760486757e-46,2.7995589043129225e-46,2.7187644430439147e-44,3.153938954392658e-45,6.167274868922337e-43,1.5667585183491973e-45,6.630028271113108e-44,2.679025840495611e-43,2.276603731290299e-44,6.542143264585057e-42,3.303291224375574e-42,1.5177331072643668e-41,5.98961237913119e-42,1.114877755705185e-43,5.6423949869821816e-42,4.588002088942523e-43,4.317392862337867e-46,1.897087344488562e-44,1.3752849607745896e-44,2.5822877642125965e-45,1.3203067208191522e-37,7.989626389887921e-43,2.4737775748469393e-45,1.4673047866843022e-45,4.1014666010326314e-45,5.3625375267088416e-46,2.9984907211041253e-46,5.857375797412425e-45,8.018845807016543e-45
2,"Agung Nugroho Pramudhita, S.T., M.T.",16,SPKK Penyakit Paru-Paru Guna Membantu Proses Anamnesa Berbasis Mobile,2.1877405589135851e-44,3.860302437505089e-43,9.611702237332834e-46,1.4525622157736945e-43,1.7944746308253976e-39,6.5104631552913455e-43,2.4546394386380203e-43,3.114590763232723e-44,9.853914111141338e-46,8.168397865933272e-45,3.146467023030277e-43,5.051831987481855e-43,2.0608187670912674e-44,3.7285963683787864e-42,1.2490553986114971e-42,1.469870591066673e-42,5.3442646732212124e-43,8.091837594441877e-42,2.8318024134495833e-45,3.924461404739823e-44,7.82831394056332e-45,6.559893118218763e-45,2.5874842418745384e-43,4.348006994945652e-46,3.0793413212131073e-43,7.114377905456844e-44,1.623066191941768e-41,1.4310910947887006e-41,1.9971436017295856e-43,5.896762428014275e-45,1.9840775164910972e-42,1.2584403656988991e-42,7.162912582101602e-44,3.3376760151994617e-40,6.92918175375923e-45,5.0663278663408536e-42,3.982509753665446e-40,1.1824826526080795e-40
2,"Agung Nugroho Pramudhita, S.T., M.T.",17,Perbandingan Metode FTS Dan MA pada Peramalan Persediaan Beras di Kabupaten Malang,1.5653720743482133e-31,1.7230316869382226e-29,1.2767967231593272e-28,2.468620135848778e-30,3.8927743756148274e-30,7.6992851861616e-30,2.0890149815501645e-29,3.4218390683513123e-31,2.6481145775789427e-30,8.095954331275248e-32,4.939095255509763e-31,4.67547705164627e-30,1.4322085926461804e-30,6.374502080409204e-30,3.0444279082505598e-31,7.964241428613467e-30,2.736172160870291e-30,1.0858815332936602e-30,8.13459563283014e-30,1.1476589605433208e-29,4.531660352732547e-29,2.1988808645153278e-29,2.841654387263827e-30,1.8775856286830734e-29,4.960107066816149e-30,5.177222850995968e-31,2.426563609770091e-30,3.7515382012932924e-28,5.484257576930806e-31,8.224516939856576e-27,3.875217880403305e-29,3.166810526354992e-31,4.968988184405998e-31,3.823653991216453e-30,7.071351295947146e-31,5.91265841088232e-32,3.5635996876580464e-30,4.198766949255614e-30
2,"Agung Nugroho Pramudhita, S.T., M.T.",18,SISTEM PELAYANAN KESEHATAN TERPADU BERBASIS IOT PADA FASILITAS KESEHATAN,1.9544323648952033e-52,1.4905956320485263e-51,2.0965594137478526e-54,4.4677004701163645e-49,7.21263347305656e-52,1.502647991002173e-50,2.822213497835674e-50,4.4727161986498346e-51,7.972191594448667e-47,1.9034285645519935e-47,1.017452462249796e-45,3.410238452902137e-51,1.9523283750948316e-50,3.847958819138107e-50,1.7096705251439883e-51,9.898974763688576e-52,3.4443164193300803e-53,3.8597840868686724e-52,2.159945344332261e-53,2.333431287656382e-52,4.3567800611648285e-52,4.910839550492577e-53,8.593709545355913e-53,2.233206008395219e-53,3.495890972048576e-52,4.401402122027097e-51,1.702409300030186e-50,2.284298404389839e-45,1.1876305199958985e-50,3.123975348504876e-52,1.178174722926858e-52,2.661129732197838e-50,3.834215138567112e-45,2.1878251836327764e-49,4.126846735064158e-52,1.1952815334186045e-51,2.4769522617452004e-50,1.3064155444496664e-48
3,"Ahmadi Yuli Ananta, ST., M.M.",19,Pembuatan Sistem Pakar Diagnosa Penyakit Pada Burung Puyuh Dengan Menggunakan Metode Forward Chaining,1.5653720743482133e-31,3.12849546362399e-29,4.368725290484003e-30,2.4447213474027652e-30,6.250715485934302e-22,6.849983174116024e-30,3.789827833182225e-30,3.421839068351313e-31,2.129378502096811e-31,2.9768456275688134e-32,5.566681947966594e-30,1.7752319930133693e-30,3.7236514253977686e-30,9.154083043873724e-31,1.6391479606818217e-30,6.8622061585462895e-31,6.163543913335182e-31,2.6727496740601277e-30,7.577882042800809e-31,1.8634076342932226e-30,5.7518833409204694e-30,3.0567710733877636e-30,2.841654387263827e-30,3.04856016884363e-30,7.648574472727119e-30,6.564845258066056e-32,1.1688709884288177e-30,6.931522605900733e-30,1.4770822443654929e-30,9.438647448766516e-30,1.2558127439313791e-29,5.449302076812924e-30,4.084531500196734e-31,1.3058492781952933e-30,1.2880604622129632e-30,1.5924639995846812e-31,1.5728859779856739e-30,5.579538338351611e-30
3,"Ahmadi Yuli Ananta, ST., M.M.",20,Seleksi Notifikasi Serangan Berbasis Ids Snort Menggunakan Metode K-Means,3.8441227374904737e-31,3.013392735997161e-29,1.1070433214793485e-28,1.684314454137085e-29,2.089319683476613e-29,7.835776189095513e-30,1.3331287413776345e-29,8.403094435012546e-31,2.6978436759833826e-30,3.1144384121345917e-31,1.828510444467117e-30,1.598860101357679e-29,2.2943318634597525e-29,8.845344218437221e-30,4.104302907780691e-30,4.682013588182791e-30,3.157766300411563e-28,6.618487209746857e-30,9.801413588543055e-31,1.0001232727635735e-29,6.270507017354776e-29,3.0567710733877636e-30,4.909987509307587e-30,3.04856016884363e-30,2.6916637466474514e-29,7.203394815717514e-31,1.1655102312395631e-30,8.132872562420244e-29,6.01770050089024e-30,1.1156799885447192e-29,1.086250420672524e-28,1.4691820626554898e-30,9.852117677733683e-30,2.2673046100445754e-29,2.8631402641290173e-31,1.0919908720706847e-30,4.5198320788861944e-30,2.4120877725097034e-29
3,"Ahmadi Yuli Ananta, ST., M.M.",21,Rancang Bangun Sistem Pendukung Keputusan Kelayakan Pemberian Kredit Menggunakan Metode Profile Matching,2.135882776780509e-37,6.028744284113409e-37,3.149391308264183e-34,1.1950203130556111e-36,4.681205539672324e-37,1.4844012491119496e-37,8.451379270603741e-38,7.701908651339581e-38,1.5296541212293119e-37,6.612530123402106e-38,1.1715945738636979e-36,7.386655544411361e-36,1.9449088283249807e-37,5.761534808500846e-37,3.532542292224217e-38,8.389065556624955e-38,3.25825794632171e-38,1.0537287391628816e-36,1.4226677698359985e-38,3.1014489719092385e-36,1.8596643543151946e-36,1.7461965565608797e-37,1.109717044440075e-36,1.5657893131105773e-37,1.389899446033088e-37,5.501345730424672e-38,1.3033658135254852e-36,5.815081090614058e-37,3.763234145877538e-38,6.825957373375238e-37,5.131554891715172e-29,2.561518896176174e-35,3.093438997147634e-36,2.1317880899763578e-37,1.5167287385872376e-37,3.0129565349269646e-37,1.7970238703700095e-37,3.749818359305076e-36
3,"Ahmadi Yuli Ananta, ST., M.M.",22,Implementasi Naive Bayes Dan Pos Tagging Menggunakan Metode Hidden Markov Model Viterbi Pada Analisa Sentimen Terhadap Akun Twitter Presiden Joko Widodo Di Saat Pandemi COVID-19,1.5075702546091e-107,1.5681485554876778e-109,2.2198542766428786e-103,2.657165145748179e-102,9.137584486430422e-106,1.586855455451348e-106,2.4771201273564255e-95,4.564074906388583e-108,1.4501110909642815e-107,3.686380673995818e-111,4.462690841231951e-108,7.177676340615568e-108,1.8608680382152838e-106,1.0175985624055357e-108,1.6533282680709865e-109,1.0191595625536508e-108,1.929981901000381e-105,5.3177304037322513e-107,2.792737240862676e-108,4.572852576732107e-107,1.0047673640607867e-106,7.4988222743109e-109,5.871844442738201e-108,2.4845272904537624e-108,3.476552624449874e-106,6.600077707956433e-110,2.0184200473793539e-106,4.295220240317433e-109,7.857420079409048e-108,3.670544519587444e-108,5.400853400206835e-106,3.0377298600760936e-107,5.63518240650808e-106,1.1638255157468981e-106,1.813521481954764e-108,2.970997783783257e-111,3.8183720736623047e-109,7.577020598497165e-109
3,"Ahmadi Yuli Ananta, ST., M.M.",23,Pengembangan Sistem Otomatisasi AC dan Lampu Menggunakan Fuzzy dan Raspberry Pi,4.771353690841899e-89,1.2880893981229034e-84,1.5018552828415673e-89,1.0734545548042266e-88,3.536436383414121e-85,8.61285648114517e-87,7.600565786946524e-88,4.580795093838363e-89,6.515953966071499e-87,1.7395317809063603e-87,1.8221551503250652e-70,4.2707875267842853e-88,7.334737108951198e-89,6.48206467664071e-90,5.751238552069026e-90,5.714501017596165e-86,8.008742549244871e-88,5.837702293125112e-89,5.555926243921832e-87,1.6456161530935938e-90,2.069107049938712e-87,1.1201316573063247e-85,3.204114844964794e-88,7.982180705196225e-90,9.736580799983454e-90,2.491482126217123e-87,5.2539456960688e-81,1.876390067199e-88,7.550288317418987e-87,1.365851426725773e-85,3.0483766521651554e-85,5.09160949556028e-89,3.941570390686094e-87,5.663168948470082e-87,3.6430355685386856e-88,2.7004768720371325e-84,1.5289819822741726e-83,5.023867919525901e-88
3,"Ahmadi Yuli Ananta, ST., M.M.",24,Sistem Pendukung Keputusan Dengan Menerapkan Logika Fuzzy Dalam Menentukan Prioritas Calon Debitur,2.164724754854033e-27,1.8159374342682182e-25,6.206301568323312e-25,2.4227432541842565e-27,1.987239398352253e-26,6.897608124492077e-25,7.948536511477463e-27,6.5731632595978485e-28,1.464011117284465e-27,3.0887258149187827e-28,7.630129977713556e-27,3.1463406409707037e-27,1.4322626823416587e-27,1.7121539766046146e-27,3.837145395633076e-27,1.4736933361856155e-27,3.396584238343179e-28,1.1770199323317232e-27,7.035180107214766e-28,3.9176559673638037e-28,4.80770498186925e-27,2.1566030733558075e-26,8.703409267713095e-28,7.272669472172216e-28,6.579845433595206e-28,4.874833837543697e-28,1.7759759272779154e-27,8.275442902247453e-27,2.0936117429073375e-27,7.15057832808361e-26,2.310580076348155e-19,4.0330580227190584e-28,6.676112305725153e-27,6.0529907761864345e-28,5.401413063017313e-27,4.2137043454648825e-28,7.571849404861824e-27,2.1065176676101943e-27
