Judul,Nama Bidang,Nilai Prediksi
MENINGKATKAN PEMAHAMAN BACAAN SISWA DENGAN MENERAPKAN TEKNIK PRE-QUESTIONING,Multimedia,2.676951173079889e-17
… HASIL SIMULASI MONTE CARLO DAN SIMULASI BOOTSTRAP DALAM ANALISIS INVESTASI SAHAM UNTUK MENGHITUNG NILAI VALUE AT RISK VaR DATA,Penerapan Virtualisasi Jaringan,1.1952752880254099e-34
Analisis Perancangan Multimedia Streaming Berbasis Software Defined Network,Penerapan Virtualisasi Jaringan,2.2141895419317643e-22
ANALISA VISUAL MENGGUNAKAN ETETOOLKIT FRAMEWORK TERHADAP PENYAKIT BETA-THALASSEMIA DI JAWA TENGAH BAGIAN SELATAN,Penerapan Manajemen Informasi,5.2177299477469395e-28
Sistem Pendukung Keputusan Penentuan Siswa Penerima Beasiswa Dengan Metode Simple Additive Weighting Berbasis Java Desktop Application,Penerapan Sistem Pendukung Keputusan,6.42903593549047e-43
PENGARUH INTENSITAS PENGGUNAAN SMARTPHONETERHADAP KUALITAS TIDUR PADA SISWA DI SMA NEGERI 1 SIGLI KABUPATEN PIDIE,Penerapan Pembelajaran Elektronik pada Sistem Informasi,7.036914975266002e-30
PENGARUH UKURAN PERUSAHAAN PROFITABILITAS LEVERAGE DAN STATUS PERUSAHAAN TERHADAP RATA-RATA VOLUME PERDAGANGAN SAHAM …,Skalabilitas dan Analitik Data,8.460018552568678e-30
Sistem Pendukung Keputusan Penentuan Penerima Penghargaan Sekolah Adiwiyata di Kabupaten Pelalawan Menggunakan Metode Simple Additive Weighting …,Penerapan Sistem Pendukung Keputusan,2.837722372483606e-33
PENGAWASAN OTORITAS JASA KEUANGAN OJK ATAS PENYALAHGUNAAN DATA PENGGUNA PINJAMAN KREDIT PADA APLIKASI RUPIAHPLUS DIKAITKAN …,Penerapan Intelijen Bisnis,1.136124077287938e-27
Pemanfataan teknologi informasi dan komunikasi TIK dalam pembelajaran matematika,Penerapan Augmented Reality,1.4991236268155546e-19
Penerapan Clustering pada Aplikasi Pendeteksi Kemiripan Dokumen Teks Bahasa Indonesia,Penerapan Information Retrieval,1.0077783284940113e-23
Penggunaan metode fuzzy inference system fis mamdani dalam pemilihan peminatan mahasiswa untuk tugas akhir,Penerapan Sistem Pendukung Keputusan,1.6717020747658902e-35
Penerapan Artificial Intelligence dalam Computer Aided Instructure CAI,Penerapan Kecerdasan Buatan,6.226914388702093e-12
 Penerapan Algoritma A*A Star Pada Game Edukasi The Maze Island Berbasis Android,Pengembangan Game,3.428255819640242e-28
Implementasi Fsm Finite State Machine Pada Game Perjuangan Pangeran Diponegoro,Penerapan Kecerdasan Buatan,4.0590613007711243e-19
PENERAPAN METODE FINITE STATE MACHINE PADA GAME DREADMAN,Penerapan Kecerdasan Buatan,1.661741430715447e-14
Analisis Perbandingan Kecerdasan Buatan pada Computer Player dalam Mengambil Keputusan pada Game Battle RPG,Penerapan Kecerdasan Buatan,6.642895299376459e-35
PENERAPAN CHATBOT AUTO REPLY PADA WHATSAPP SEBAGAI PUSAT INFORMASI PRAKTIKUM MENGGUNAKAN ARTIFICIAL INTELLIGENCE MARKUP …,Penerapan Manajemen Informasi,1.1044634434675716e-53
Penerapan Algoritma Alpha Beta Pruning Sebagai Kecerdasan Buatan Pada Game Pawn Battle,Penerapan Kecerdasan Buatan,5.061802828949526e-29
PENERAPAN CHATBOT AUTO REPLY PADA WHATSAPP SEBAGAI PUSAT INFORMASI PRAKTIKUM MENGGUNAKAN ARTIFICIAL INTELLIGENCE MARKUP …,Penerapan Manajemen Informasi,1.1044634434675716e-53
Penerapan Data Market Query DMQ pada Sistem Penilaian Berbasis Yii Framework,Penerapan Enkripsi,7.31772420169675e-39
Penerapan Algoritma K-Means Untuk Clustering Data Obat-Obatan,Penerapan Penambangan Data,8.231583182549301e-15
Penerapan Data Mining Untuk Menganalisis Kepuasan Konsumen Menggunakan Metode Algoritma C4 5,Penerapan Data Besar,7.806021388120112e-26
[HTML][HTML] Perancangan Sistem Informasi Inventaris Program Studi Teknik Informatika Universitas Surakarta,Penerapan Manajemen Informasi,1.1781825055782958e-33
Penerapan Metode Clustering Dengan Algoritma K-Means Untuk Rekomendasi Pemilihan Jalur Peminatan Sesuai Kemampuan Pada Progam Studi Teknik …,Penerapan Kecerdasan Buatan,9.077873660519847e-40
Penerapan Skala Likert dan Skala Dikotomi Pada Kuesioner Online,Penerapan Watermarking pada Citra,7.1049538029365575e-12
Penerapan Data Mining Menggunakan Algoritma K-Means Clustering Untuk Menentukan Strategi Promosi Mahasiswa Baru Studi Kasus Politeknik Lp3i Jakarta,Penerapan Data Besar,1.0858377554133952e-40
ANALISA KEMUNGKINAN CALON MAHASISWA BARU MEMILIH PRODI TEKNIK INFORMATIKA MELALUI PENERAPAN DATA MINING DECISION TREE,Penerapan Data Besar,1.6640618425163452e-38
Penerapan Metode Data Mining Market Basket Analysis Terhadap Data Penjualan Produk Pada Toko Oase Menggunakan Algoritma Apriori,Penerapan Penambangan Data,1.0117106889355371e-39
Analisa Dan Penerapan Data Mining Untuk Menentukan Kubikasi Air Terjual Berdasarkan Pengelompokan Pelanggan Menggunakan Algoritma K-Means Clustering,Penerapan Data Besar,7.240557171127853e-34
 RANCANG BANGUN SISTEM TEMU KEMBALI INFORMASI ABSTRAK TUGAS AKHIR MAHASISWA PRODI TEKNIK INFORMATIKA UNSOED,Penerapan Manajemen Informasi,8.592099470681488e-37
 Text dan Web Mining,Penerapan Penambangan Teks,1.0925241414786679e-10
Question Answering System Dan Penerapannya Pada Alkitab,Penerapan Penambangan Teks,2.9482043191655746e-11
Information Retrieval Mendeteksi Konten Anarkis Pada Web Keagamaan Menggunakan Algoritma Rabin Karp,Penerapan Information Retrieval,1.1992645574824169e-21
Penerapan Algoritma Ahp Dan Saw Dalam Pemilihan Penginapan Di Yogyakarta,Penerapan Sistem Pendukung Keputusan,2.1078108777651147e-16
Sistem Information Retrieval Layanan Kesehatan Untuk Berobat Dengan Metode Vector Space Model VSM Berbasis Webgis,Penerapan Information Retrieval,2.867973810319446e-36
 Pembangunan Sistem Temu Balik Informasi Information Retrieval Dalam Pemilihan Pemain Sepak Bola Berkualitas Di Indonesia Berbasis Analisis Sentimen,Penerapan Information Retrieval,7.309422161209908e-52
 Rancang bangun pendeteksian keshahihan hadits sebagai sebuah information retrieval pada kitab-kitab hadits,Penerapan Information Retrieval,4.3673494604218225e-33
Implementasi Information Retrieval Dalam Pembuatan Aplikasi Piano Composer Menggunakan Java Applet,Penerapan Information Retrieval,2.0456854463036895e-16
 Penerapan algoritma apriori terhadap data penjualan di Toko Gudang BM,Penerapan Data Besar,9.070128133106482e-24
Membangun sistem pakar menggunakan teorema bayes untuk mendiagnosa penyakit paru-paru,Penerapan Sistem Pakar,2.0406995756741929e-22
PENERAPAN FUZZY INFERENCE SYSTEM TAKAGI-SUGENO-KANG PADA SISTEM PAKAR DIAGNOSA PENYAKIT GIGI,Penerapan Sistem Pakar,1.1459700473739965e-23
Perancangan Sistem Pakar Diagnosa Penyakit Ayam Dengan Metode Forward Chaining,Penerapan Sistem Pakar,1.9291904930540805e-23
Sistem Pakar Dengan Metode Certainty Factor Dalam Penentuan Gaya Belajar Anak Usia Remaja,Penerapan Sistem Pakar,7.463014655293041e-30
Perancangan Aplikasi Sistem Pakar Diagnosa Diabetes Dengan Metode Bayes,Penerapan Sistem Pakar,2.733593185961821e-23
Penerapan Metode Forward Chaining Pada Sistem Pakar Untuk Diagnosa Hama dan Penyakit Padi,Penerapan Sistem Pakar,7.232241309449622e-23
 Penerapan Metode Forward Chaining Pada Sistem Pakar Untuk Mendiagnosa Penyakit Degeneratif Pada Lansia Berbasis Web,Penerapan Sistem Pakar,2.878598608915945e-23
Penerapan Case Based Reasoning Cbr Pada Sistem Pakar Diagnosa Penyakit Otitis Media Supuratif Kronis OMSK Pada Orang Dewasa,Penerapan Sistem Pakar,1.3329436677461558e-26
Penerapan Metode Dempster Shafer Dalam Mendiagnosa Penyakit Bell'S Palsy,Penerapan Sistem Pakar,3.8490048043923736e-18
Penerapan Metode Naive Bayes Pada Aplikasi Sistem Pakar Untuk Diagnosa Penyakit Kulit Pada Kucing,Penerapan Sistem Pakar,1.1480285140499462e-27
PENERAPAN ALGORITMA CLUSTERING UNTUK MENGELOMPOKKAN KETERTARIKAN SISWA BERDASARKAN AKTIVITAS DI MODEL PEMBELAJARAN …,Multimedia,1.6340814340646328e-26
 CLUSTERING TIPE BELAJAR SISWA SMKN 2 PENAJAM PASER UTARA DENGAN PENERAPAN METODE DATA MINING K-MEANS DAN FUZZY C-MEANS …,Penerapan Penambangan Teks,6.426405438025137e-46
PENERAPAN ALGORITMA APRIORI UNTUK PENENTUAN STRATEGI MARKETING PENJUALAN PRODUK,Penerapan Penambangan Data,9.45133335137065e-22
 PENERAPAN DATA MINING UNTUK MENCARI POLA DATA NILAI AKADEMIK MAHASISWA MENGGUNAKAN ALGORITMA FP-GROWTH Studi …,Penerapan Data Besar,1.6391828445668565e-30
 Penerapan Konsep Data Mining Pada Database Akademik STMIK Pradnya Paramita Dengan Delphi,Penerapan Data Besar,1.1433033362576512e-19
PENERAPAN DATA MINING UNTUK MENGANALISIS DATA BENCANA GEMPA BUMI DI KEPULAUAN MALUKU PADA BMKG MENGGUNAKAN NAÏVE BAYES …,Penerapan Data Besar,1.1775111745358614e-30
 PENERAPAN ASSOCIATION RULE DENGAN ALGORITMA APRIORI DALAM ANALISIS DATA MINING PENJUALAN BAHAN KIMIA PADA PT GRESIK CIPTA …,Penerapan Penambangan Data,1.1441908505546346e-30
 Penerapan Data Mining menggunakan Metode Decision Tree C4 5 untuk Prediksi Tingkat Kelulusan Mahasiswa Studi Kasus STMIK WIT,Penerapan Data Besar,1.3290289830371154e-38
Penerapan Algoritma C4 5 Untuk Memprediksi Besarnya Penggunaan Listrik Rumah Tangga di Kota Batam,Penerapan Penambangan Data,6.868045372862758e-34
PENERAPAN DATA MINING UNTUK CLUSTERING DATA PENDUDUK MISKIN MENGGUNAKAN ALGORITMA K-MEANS,Penerapan Data Besar,1.508343788531777e-19
 Analisis Penerapan Algoritma Naive Bayes dalam Pengklasifikasian Konten Berita Bahasa Indonesia,Penerapan Penambangan Teks,7.064676348570739e-26
Penerapan Algoritma Apriori Dalam Memprediksi Penjualan Produk Di Pt Miwada Industrial,Penerapan Data Besar,3.70588692009855e-18
 IMPLEMENTASI KEYWORD BASED ASSOCIATION ANALYSIS MENGGUNAKAN ALGORITMA MS APRIORI,Penerapan Penambangan Data,1.0830446203201044e-16
Pencarian Ayat Al-Quran Dengan Memperhatikan Kata Majemuk Menggunakan Term Frequency dan Prinsip Pareto Untuk Membantu Hafalan Studi Kasus Juz ' …,Penerapan Information Retrieval,1.987367205524136e-27
Analisis Data Hasil Keuntungan Menggunakan Software Rapidminer,Penerapan Data Besar,3.2473405165308616e-14
Implementasi Metode Naive Bayes Classifier NBC Pada Komentar Warga Sekolah Mengenai Pelaksanaan Pembelajaran Jarak Jauh PJJ,Penerapan Penambangan Teks,7.672048634718254e-43
Pengembangan Aplikasi Sentiment Analysis Menggunakan Metode Naïve Bayes Studi Kasus Sentiment Analysis Dari Media Twitter,Penerapan Information Retrieval,6.9254066211911206e-46
Klasifikasi Teks Dengan Menggunakan Algoritma K-nearest Neighbor Pada Kasus Kinerja Pemerintah Di Twitter,Penerapan Penambangan Teks,6.303726093698144e-29
Integrasi Laman Web tentang Pariwisata Daerah Istimewa Yogyakarta Memanfaatkan Teknologi Web Scraping dan Text Mining,Penerapan Sistem Informasi Geografis,9.504639359393507e-45
Peningkatan Kinerja Clustering Dokumen Teks Menggunakan Pembobotan Sampel,Penerapan Information Retrieval,1.9874244751621608e-19
 JURUSAN ADMINISTRASI BISNIS FAKULTAS ILMU ADMINISTRASI UNIVERSITAS BRAWIJAYA,Penerapan Global Professional Practice,5.133615805351693e-27
Model Manajemen Hubungan Pelanggan dan Sistem Bisnis Intelijen untuk Katalog Secara Online,Penerapan Intelijen Bisnis,5.6705542088155055e-33
POLA PERILAKU BELANJA CUSTOMER PADA E-MARKETPLACE DENGAN ALGORITMA HYBRID IMPROVED TABU SEARCH TS DAN FP-GROWTH UNTUK …,Penerapan Penambangan Data,5.130514893954236e-38
Rancang Bangun Aplikasi Pemetaan Kebudayaan Islam Dengan Menerapkan Knowledge Management Dan Sistem Informasi Geografis,Penerapan Bisnis Elektronik Sistem Informasi,4.7491169181226553e-35
EVALUASI PENGUKURAN TINGKAT KEMAMPUAN DALAM PENERAPAN TEKNOLOGI INFORMASI Studi Kasus Politeknik Indonusa Surakarta,Penerapan Manajemen Informasi,5.673278580926278e-28
 Penerapan Data Mining Dengan Algoritma Apriori Untuk Informasi Saran Kueri Barang Studi Kasus Situs “Inkuiri com”,Penerapan Data Besar,2.9898735124014604e-30
 Internet of Things a vision architectural elements and future directons,Penerapan IoT,1.7998798109346788e-18
Sistem Tracer Study Alumni Fakultas Ilmu Komputer Universitas Muslim Indonesia Menggunakan Metode On-Line Analitycal Processing OLAP,Penerapan Penambangan Data,8.849481588191567e-41
 Pembangunan Sistem Informasi Inventory Management Pada CV Sumber Tani-Cirebon,Penerapan Bisnis Elektronik Sistem Informasi,6.2036095549592695e-22
Dashboard Information System Berbasis Key Performance Indicator,Penerapan Information Retrieval,3.2540685356787983e-17
 Pemeringkatan E-Government Indonesia PEGI dan Pemanfaatan Teknologi Informasi di DKI Jakarta,Penerapan Teknologi Jaringan,8.024434669468333e-24
Strategi pemerintah kota cilegon menuju cilegon smart city,Penerapan Smart Living,6.897968548606451e-16
Analisis Kesiapan Kota Kotamobagu Dalam Mewujudkan Kotamobagu sebagai Smart City,Penerapan Smart Living,6.137597218911767e-19
Perancangan Sistem Informasi Monitoring dan Reporting Program Pemberdayaan dan Kesejahteraan Keluarga Studi Kasus Kelurahan X,Penerapan Manajemen Informasi,4.518949298132397e-38
Teknologi Informasi dalam Smart City di Makassar,Penerapan Smart Living,1.2765838173188294e-15
Pelaksanaan smart government di kabupaten soppeng,Penerapan Smart Living,1.822258178289846e-15
Perencanaan Komunikasi Dinas Komunikasi Informatika Statistik dan Persandian Kota Pekanbaru dalam Mensosialisasikan Program Smart City,Penerapan Smart Living,5.520907330426057e-38
 Analisa Kesiapan Pemerintah Dalam Implementsi Bitung Kota Cerdas,Penerapan Smart Living,8.430774397792973e-19
Perancangan Infrastruktur Jaringan Komputer Dalam Konsep Membangun Serang Menuju Smart City,Penerapan Smart Living,7.678664922878119e-31
AGRO-BASED SMART CITY KOTA BATU IMPLEMENTASI DAN TANTANGAN,Penerapan Smart Living,2.039670784168706e-15
Perancangan Cloud Storage Menggunakan Owncloud Dan Ubuntu Server Studi Kasus Pada Pt Indonesia Nippon Seiki,Penerapan Komputasi Awan,1.4382332054241452e-31
